,nfe,improvements
0,100,21
1,200,40
2,300,57
3,400,79
4,500,100
5,600,124
6,700,138
7,800,155
8,900,167
9,1000,179
10,1100,190
11,1200,201
12,1300,211
13,1400,220
14,1500,235
15,1600,244
16,1700,257
17,1800,262
18,1900,273
19,2000,282
20,2100,296
21,2200,303
22,2300,313
23,2400,323
24,2500,329
25,2600,336
26,2700,343
27,2800,350
28,2900,355
29,3000,361
30,3100,369
31,3200,375
32,3300,385
33,3400,395
34,3500,401
35,3600,411
36,3700,417
37,3800,425
38,3900,436
39,4000,444
40,4100,468
41,4200,481
42,4300,490
43,4400,501
44,4500,512
45,4600,521
46,4700,535
47,4800,541
48,4900,549
49,5000,558
50,5100,567
51,5200,572
52,5300,577
53,5400,587
54,5500,592
55,5600,600
56,5700,607
57,5800,615
58,5900,623
59,6000,631
60,6100,638
61,6200,640
62,6300,649
63,6400,653
64,6500,658
65,6600,665
66,6700,672
67,6800,679
68,6900,683
69,7000,690
70,7100,698
71,7200,701
72,7300,708
73,7400,710
74,7500,716
75,7600,724
76,7700,730
77,7800,733
78,7900,740
79,8000,748
80,8100,754
81,8200,759
82,8300,766
83,8400,773
84,8500,779
85,8600,783
86,8700,786
87,8800,793
88,8900,796
89,9000,803
90,9100,806
91,9200,811
92,9300,813
93,9400,816
94,9500,823
95,9600,829
96,9700,834
97,9800,838
98,9900,842
99,10501,846
100,11169,860
101,11837,890
102,12505,917
103,13173,966
104,13841,1020
105,14509,1069
106,15177,1118
107,15845,1168
108,16513,1210
109,17181,1263
110,17849,1295
111,18517,1337
112,19185,1368
113,19853,1398
114,20521,1438
115,21189,1470
116,21857,1498
117,22525,1532
118,23193,1565
119,23861,1595
120,24529,1623
121,25197,1648
122,25865,1681
123,26533,1706
124,27201,1734
125,27869,1757
126,28537,1782
127,29205,1811
128,29873,1836
129,30541,1860
130,31209,1897
131,31877,1935
132,32545,1965
133,33213,1989
134,33881,2008
135,34549,2034
136,35217,2064
137,35885,2104
138,36553,2124
139,37221,2152
140,37889,2174
141,38557,2198
142,39225,2232
143,39893,2261
144,40561,2283
145,41229,2301
146,41897,2321
147,42565,2341
148,43233,2364
149,43901,2404
150,44569,2421
151,45237,2450
152,45905,2471
153,46573,2501
154,47241,2531
155,47909,2558
156,48577,2592
157,49245,2637
158,49913,2670
159,50581,2699
160,51249,2723
161,51917,2747
162,52585,2783
163,53253,2810
164,53921,2841
165,54589,2879
166,55257,2917
167,55925,2955
168,56593,3001
169,57261,3035
170,57929,3068
171,58597,3107
172,59265,3140
173,59933,3170
174,60601,3210
175,61269,3242
176,61937,3273
177,62605,3303
178,63273,3334
179,63941,3376
180,64609,3414
181,65277,3471
182,65945,3519
183,66613,3561
184,67281,3608
185,67949,3651
186,68617,3700
187,69285,3733
188,69953,3767
189,70621,3803
190,71289,3834
191,71957,3862
192,72625,3905
193,73293,3939
194,73961,3965
195,74629,4006
196,75297,4042
197,75965,4071
198,76633,4103
199,79104,4136
200,81508,4198
201,83912,4291
202,86316,4432
203,88720,4600
204,91124,4764
205,93528,4971
206,95932,5174
207,98336,5381
208,100740,5570
