,nfe,improvements
0,100,10
1,200,21
2,300,30
3,400,41
4,500,56
5,600,68
6,700,84
7,800,93
8,900,100
9,1000,109
10,1100,127
11,1200,141
12,1300,155
13,1400,171
14,1500,190
15,1600,209
16,1700,228
17,1800,241
18,1900,256
19,2000,269
20,2100,282
21,2200,291
22,2300,299
23,2400,312
24,2500,326
25,2600,332
26,2700,339
27,2800,354
28,2900,357
29,3000,366
30,3100,373
31,3200,379
32,3300,388
33,3400,403
34,3500,409
35,3600,418
36,3700,428
37,3800,439
38,3900,447
39,4000,454
40,4100,460
41,4200,464
42,4300,470
43,4400,478
44,4500,485
45,4600,491
46,4700,497
47,4800,510
48,4900,516
49,5000,521
50,5100,530
51,5200,544
52,5300,552
53,5400,554
54,5500,560
55,5600,570
56,5700,577
57,5800,582
58,5900,592
59,6000,600
60,6100,606
61,6200,615
62,6300,629
63,6400,637
64,6500,644
65,6600,652
66,6700,661
67,6800,666
68,6900,672
69,7000,682
70,7100,690
71,7200,694
72,7300,704
73,7400,713
74,7500,721
75,7600,732
76,7700,739
77,7800,745
78,7900,751
79,8000,760
80,8100,768
81,8200,781
82,8300,789
83,8400,794
84,8500,801
85,8600,810
86,8700,813
87,8800,820
88,8900,827
89,9000,832
90,9100,837
91,9200,844
92,9300,848
93,9400,852
94,9500,862
95,9600,871
96,9700,875
97,9800,879
98,9900,885
99,10459,888
100,11071,908
101,11683,941
102,12295,980
103,12907,1018
104,13519,1056
105,14131,1087
106,14743,1117
107,15355,1158
108,15967,1195
109,16579,1238
110,17191,1291
111,17803,1336
112,18415,1375
113,19027,1406
114,19639,1439
115,20251,1467
116,20863,1505
117,21475,1525
118,22087,1555
119,22699,1579
120,23311,1596
121,23923,1611
122,24535,1640
123,25147,1661
124,25759,1695
125,26371,1715
126,26983,1736
127,27595,1755
128,28207,1778
129,28819,1798
130,29431,1812
131,30043,1834
132,30655,1864
133,31267,1888
134,31879,1915
135,32491,1942
136,33103,1968
137,33715,1995
138,34327,2013
139,34939,2043
140,35551,2064
141,36163,2087
142,36775,2113
143,37387,2142
144,37999,2174
145,38611,2196
146,39223,2213
147,39835,2233
148,40447,2254
149,41059,2272
150,41671,2287
151,42283,2310
152,42895,2329
153,43507,2345
154,44119,2365
155,44731,2373
156,45343,2392
157,45955,2406
158,46567,2421
159,47179,2435
160,47791,2451
161,48403,2469
162,49015,2487
163,49627,2500
164,50239,2516
165,50851,2533
166,51463,2551
167,52075,2564
168,52687,2588
169,53299,2600
170,53911,2613
171,54523,2630
172,55135,2651
173,55747,2671
174,56359,2683
175,56971,2698
176,57583,2711
177,58195,2728
178,58807,2746
179,59419,2760
180,60031,2781
181,60643,2796
182,61255,2811
183,61867,2816
184,62479,2827
185,63091,2842
186,63703,2850
187,64315,2861
188,64927,2869
189,65539,2882
190,66151,2892
191,66763,2908
192,67375,2920
193,67987,2932
194,68599,2947
195,69211,2956
196,69823,2975
197,70435,2987
198,71047,3000
199,72949,3014
200,74669,3052
201,76389,3119
202,78109,3192
203,79829,3277
204,81549,3382
205,83269,3484
206,84989,3568
207,86709,3666
208,88429,3735
209,90149,3804
210,91869,3860
211,93589,3910
212,95309,3954
213,97029,4015
214,98749,4058
215,100469,4114
216,102189,4161
217,103909,4221
218,105629,4269
219,107349,4308
220,109069,4352
221,110789,4401
222,112509,4445
223,114229,4472
224,115949,4516
225,117669,4548
226,119389,4584
227,121109,4631
228,122829,4665
229,124549,4701
230,126269,4733
231,127989,4778
232,129709,4808
233,131429,4847
234,133149,4882
235,134869,4912
236,136589,4956
237,138309,4982
238,140029,5021
239,141749,5049
240,143469,5089
241,145189,5123
242,146909,5147
243,148629,5177
244,150349,5214
245,152069,5234
246,153789,5270
247,155509,5312
248,157229,5344
249,158949,5367
250,160669,5398
251,162389,5432
252,164109,5456
253,165829,5487
254,167549,5514
255,169269,5541
256,170989,5571
257,172709,5602
258,174429,5630
259,176149,5662
260,177869,5691
261,179589,5725
262,181309,5753
263,183029,5785
264,184749,5812
265,186469,5842
266,188189,5873
267,189909,5905
268,191629,5932
269,193349,5960
270,195069,5992
271,196789,6021
272,198509,6052
273,200229,6079
274,201949,6105
275,203669,6136
276,205389,6175
277,207109,6210
278,208829,6244
279,210549,6268
280,212269,6301
281,213989,6334
282,215709,6370
283,217429,6412
284,219149,6459
285,220869,6493
286,222589,6532
287,224309,6565
288,226029,6603
289,227749,6633
290,229469,6669
291,231189,6710
292,232909,6743
293,234629,6768
294,236349,6803
295,238069,6841
296,239789,6874
297,241509,6906
298,243229,6944
299,248534,6973
300,253314,7084
