,nfe,improvements
0,100,25
1,200,35
2,300,50
3,400,71
4,500,90
5,600,103
6,700,117
7,800,131
8,900,146
9,1000,166
10,1100,182
11,1200,196
12,1300,210
13,1400,221
14,1500,231
15,1600,247
16,1700,268
17,1800,277
18,1900,283
19,2000,292
20,2100,303
21,2200,314
22,2300,322
23,2400,330
24,2500,339
25,2600,345
26,2700,354
27,2800,359
28,2900,365
29,3000,373
30,3100,378
31,3200,384
32,3300,394
33,3400,399
34,3500,403
35,3600,413
36,3700,418
37,3800,424
38,3900,429
39,4000,435
40,4100,445
41,4200,450
42,4300,456
43,4400,458
44,4500,461
45,4600,467
46,4700,472
47,4800,481
48,4900,486
49,5000,488
50,5100,490
51,5200,495
52,5300,498
53,5400,502
54,5500,509
55,5600,515
56,5700,520
57,5800,528
58,5900,532
59,6000,537
60,6100,539
61,6200,542
62,6300,546
63,6400,550
64,6500,551
65,6600,558
66,6700,566
67,6800,572
68,6900,577
69,7000,581
70,7100,583
71,7200,588
72,7300,589
73,7400,593
74,7500,599
75,7600,601
76,7700,605
77,7800,608
78,7900,613
79,8000,617
80,8100,621
81,8200,627
82,8300,629
83,8400,631
84,8500,635
85,8600,637
86,8700,639
87,8800,640
88,8900,642
89,9000,646
90,9100,649
91,9200,652
92,9300,655
93,9400,659
94,9500,661
95,9600,670
96,9700,673
97,9800,676
98,9900,680
99,10426,682
100,10994,700
101,11562,714
102,12130,738
103,12698,765
104,13266,795
105,13834,818
106,14402,842
107,14970,874
108,15538,894
109,16106,915
110,16674,941
111,17242,972
112,17810,1005
113,18378,1032
114,18946,1049
115,19514,1070
116,20082,1080
117,20650,1093
118,21218,1114
119,21786,1128
120,22354,1140
121,22922,1156
122,23490,1167
123,24058,1181
124,24626,1188
125,25194,1199
126,25762,1212
127,26330,1224
128,26898,1243
129,27466,1257
130,28034,1272
131,28602,1278
132,29170,1294
133,29738,1308
134,30306,1318
135,30874,1328
136,31442,1344
137,32010,1353
138,32578,1365
139,33146,1374
140,33714,1388
141,34282,1396
142,34850,1403
143,35418,1419
144,35986,1433
145,36554,1444
146,37122,1461
147,37690,1475
148,38258,1485
149,38826,1496
150,39394,1508
151,39962,1520
152,40530,1536
153,41098,1547
154,41666,1561
155,42234,1572
156,42802,1580
157,43370,1591
158,43938,1599
159,44506,1606
160,45074,1622
161,45642,1633
162,46210,1642
163,46778,1654
164,47346,1670
165,47914,1678
166,48482,1688
167,49050,1696
168,49618,1709
169,50186,1723
170,50754,1733
171,51322,1742
172,51890,1752
173,52458,1760
174,53026,1771
175,53594,1781
176,54162,1793
177,54730,1812
178,55298,1824
179,55866,1842
180,56434,1856
181,57002,1865
182,57570,1874
183,58138,1884
184,58706,1894
185,59274,1904
186,59842,1908
187,60410,1918
188,60978,1923
189,61546,1934
190,62114,1947
191,62682,1955
192,63250,1966
193,63818,1976
194,64386,1988
195,64954,1998
196,65522,2007
197,66090,2018
198,66658,2024
199,68612,2031
200,70460,2048
201,72308,2077
202,74156,2116
203,76004,2169
204,77852,2221
205,79700,2272
206,81548,2311
207,83396,2365
208,85244,2430
209,87092,2489
210,88940,2537
211,90788,2601
212,92636,2644
213,94484,2688
214,96332,2728
215,98180,2782
216,100028,2824
217,101876,2863
218,103724,2899
219,105572,2939
220,107420,2973
221,109268,3015
222,111116,3045
223,112964,3084
224,114812,3114
225,116660,3140
226,118508,3173
227,120356,3205
228,122204,3251
229,124052,3288
230,125900,3316
231,127748,3345
232,129596,3380
233,131444,3415
234,133292,3449
235,135140,3479
236,136988,3511
237,138836,3537
238,140684,3562
239,142532,3591
240,144380,3620
241,146228,3655
242,148076,3695
243,149924,3735
244,151772,3763
245,153620,3802
246,155468,3840
247,157316,3871
248,159164,3905
249,161012,3929
250,162860,3972
251,164708,4005
252,166556,4027
253,168404,4049
254,170252,4084
255,172100,4110
256,173948,4147
257,175796,4178
258,177644,4204
259,179492,4231
260,181340,4267
261,183188,4300
262,185036,4334
263,186884,4361
264,188732,4401
265,190580,4438
266,192428,4475
267,194276,4519
268,196124,4560
269,197972,4589
270,199820,4630
271,201668,4664
272,203516,4699
273,205364,4731
274,207212,4768
275,209060,4800
276,210908,4844
277,212756,4866
278,214604,4904
279,216452,4934
280,218300,4974
281,220148,5025
282,221996,5068
283,223844,5115
284,225692,5151
285,227540,5212
286,229388,5261
287,231236,5310
288,233084,5350
289,234932,5399
290,236780,5446
291,238628,5500
292,240476,5538
293,242324,5586
294,244172,5637
295,246020,5681
296,247868,5710
297,249716,5756
298,251564,5799
